table_name,column_name
about,id
about,languageCode
about,imageUrl
about,introduction
about,isActive
about,createdAt
about_interests,id
about_interests,aboutId
about_interests,interest
about_skills,id
about_skills,aboutId
about_skills,skill
awards,id
awards,languageCode
awards,awardImageUrl
awards,description
awards,isActive
awards,createdAt
awards_items,id
awards_items,awardsId
awards_items,title
awards_items,organization
awards_items,date
awards_items,description
education,id
education,languageCode
education,educationImageUrl
education,description
education,isActive
education,createdAt
education_items,id
education_items,educationId
education_items,name
education_items,nameUrl
education_items,educationType
education_items,schoolType
education_items,major
education_items,completionDate
education_items,description
education_items,gpa
education_items,educationImageUrl
education_organization_involvement,id
education_organization_involvement,educationItemId
education_organization_involvement,organization
education_organization_involvement,role
education_relevant_courses,id
education_relevant_courses,educationItemId
education_relevant_courses,course
education_relevant_courses,courseUrl
experience,id
experience,languageCode
experience,experienceImageUrl
experience,description
experience,isActive
experience,createdAt
experience_leadership,id
experience_leadership,experienceId
experience_leadership,company
experience_leadership,companyUrl
experience_leadership,location
experience_leadership_positions,id
experience_leadership_positions,leadershipId
experience_leadership_positions,position
experience_leadership_positions,startDate
experience_leadership_positions,endDate
experience_leadership_positions,responsibilities
experience_leadership_positions,skills
experience_leadership_positions,images
experience_professional,id
experience_professional,experienceId
experience_professional,company
experience_professional,companyUrl
experience_professional,location
experience_professional_positions,id
experience_professional_positions,professionalId
experience_professional_positions,position
experience_professional_positions,startDate
experience_professional_positions,endDate
experience_professional_positions,responsibilities
experience_professional_positions,skills
experience_professional_positions,images
gallery,id
gallery,languageCode
gallery,title
gallery,imageUrl
gallery,description
gallery,sortOrder
gallery,isActive
gallery,createdAt
gallery_categories,id
gallery_categories,galleryId
gallery_categories,categoryName
home,id
home,languageCode
home,imageUrl
home,title
home,description
home,resumeUrl
home,linkedinUrl
home,githubUrl
home,email
home,isActive
home,createdAt
home_organizations,id
home_organizations,homeId
home_organizations,name
home_organizations,orgUrl
home_organizations,orgColor
home_organizations,orgPortfolioUrl
home_qualities,id
home_qualities,homeId
home_qualities,attribute
home_qualities,description
portfolio_sections,id
portfolio_sections,sectionName
portfolio_sections,displayName
portfolio_sections,description
portfolio_sections,isEnabled
portfolio_sections,sortOrder
portfolio_sections,createdAt
portfolio_sections,updatedAt
project_highlights,id
project_highlights,projectItemId
project_highlights,highlight
project_items,id
project_items,projectsId
project_items,title
project_items,date
project_items,description
project_items,githubUrl
project_items,liveUrl
project_items,imageUrl
project_technologies,id
project_technologies,projectItemId
project_technologies,technology
projects,id
projects,languageCode
projects,projectImageUrl
projects,description
projects,isActive
projects,createdAt